Lat,Lon,is_water
60.18304,24.67247,False
60.1844,24.67247,False
60.18575,24.67247,False
60.1871,24.67247,False
60.18845,24.67247,False
60.1898,24.67247,False
60.19115,24.67247,False
60.1925,24.67247,False
60.19385,24.67247,False
60.1952,24.67247,False
60.19655,24.67247,False
60.1979,24.67247,False
60.19925,24.67247,False
60.20061,24.67247,False
60.20196,24.67247,False
60.20331,24.67247,False
60.20466,24.67247,False
60.20601,24.67247,False
60.20736,24.67247,False
60.20871,24.67247,False
60.21006,24.67247,False
60.21141,24.67247,False
60.21276,24.67247,False
60.21411,24.67247,False
60.21547,24.67247,False
60.21682,24.67247,False
60.21817,24.67247,False
60.21952,24.67247,False
60.22087,24.67247,False
60.22222,24.67247,False
60.22357,24.67247,False
60.22492,24.67247,False
60.22627,24.67247,False
60.22762,24.67247,False
60.22897,24.67247,False
60.23033,24.67247,False
60.23168,24.67247,False
60.23303,24.67247,False
60.23438,24.67247,False
60.23573,24.67247,False
60.23708,24.67247,False
60.23843,24.67247,False
60.23978,24.67247,False
60.24113,24.67247,False
60.24248,24.67247,True
60.24383,24.67247,True
60.24519,24.67247,True
60.24654,24.67247,True
60.24789,24.67247,True
60.24924,24.67247,True
60.25059,24.67247,True
60.25194,24.67247,True
60.25329,24.67247,True
60.25464,24.67247,True
60.25599,24.67247,True
60.25734,24.67247,True
60.25869,24.67247,True
60.26004,24.67247,True
60.2614,24.67247,True
60.26275,24.67247,True
60.2641,24.67247,True
60.26545,24.67247,True
60.13441,24.67519,False
60.13576,24.67519,False
60.13711,24.67519,False
60.13846,24.67519,False
60.13982,24.67519,False
60.14117,24.67519,False
60.14252,24.67519,False
60.14387,24.67519,False
60.14522,24.67519,False
60.14657,24.67519,False
60.14792,24.67519,False
60.14927,24.67519,False
60.15062,24.67519,False
60.15197,24.67519,False
60.15332,24.67519,False
60.15468,24.67519,False
60.15603,24.67519,False
60.15738,24.67519,False
60.15873,24.67519,False
60.16008,24.67519,False
60.16143,24.67519,False
60.16278,24.67519,False
60.16413,24.67519,False
60.16548,24.67519,False
60.16683,24.67519,False
60.16818,24.67519,False
60.16954,24.67519,False
60.17089,24.67519,False
60.17224,24.67519,False
60.17359,24.67519,False
60.17494,24.67519,False
60.17629,24.67519,False
60.17764,24.67519,False
60.17899,24.67519,False
60.18034,24.67519,False
60.18169,24.67519,False
60.18304,24.67519,False
60.1844,24.67519,False
60.18575,24.67519,False
60.1871,24.67519,False
60.18845,24.67519,False
60.1898,24.67519,False
60.19115,24.67519,False
60.1925,24.67519,False
60.19385,24.67519,False
60.1952,24.67519,False
60.19655,24.67519,False
60.1979,24.67519,False
60.19925,24.67519,False
60.20061,24.67519,False
60.20196,24.67519,False
60.20331,24.67519,False
60.20466,24.67519,False
60.20601,24.67519,False
60.20736,24.67519,False
60.20871,24.67519,False
60.21006,24.67519,False
60.21141,24.67519,False
60.21276,24.67519,False
60.21411,24.67519,False
60.21547,24.67519,False
60.21682,24.67519,False
60.21817,24.67519,False
60.21952,24.67519,False
60.22087,24.67519,False
60.22222,24.67519,False
60.22357,24.67519,False
60.22492,24.67519,False
60.22627,24.67519,False
60.22762,24.67519,False
60.22897,24.67519,False
60.23033,24.67519,False
60.23168,24.67519,False
60.23303,24.67519,False
60.23438,24.67519,False
60.23573,24.67519,False
60.23708,24.67519,False
60.23843,24.67519,False
60.23978,24.67519,False
60.24113,24.67519,False
60.24248,24.67519,False
60.24383,24.67519,True
60.24519,24.67519,True
60.24654,24.67519,True
60.24789,24.67519,True
60.24924,24.67519,True
60.25059,24.67519,True
60.25194,24.67519,True
60.25329,24.67519,True
60.25464,24.67519,True
60.25599,24.67519,True
60.25734,24.67519,True
60.25869,24.67519,True
60.26004,24.67519,True
60.2614,24.67519,True
60.26275,24.67519,True
60.2641,24.67519,True
60.26545,24.67519,True
60.13441,24.6779,False
60.13576,24.6779,False
60.13711,24.6779,False
60.13846,24.6779,False
60.13982,24.6779,False
60.14117,24.6779,False
60.14252,24.6779,False
60.14387,24.6779,False
60.14522,24.6779,False
60.14657,24.6779,False
60.14792,24.6779,False
60.14927,24.6779,False
60.15062,24.6779,False
60.15197,24.6779,False
60.15332,24.6779,False
60.15468,24.6779,False
60.15603,24.6779,False
60.15738,24.6779,False
60.15873,24.6779,False
60.16008,24.6779,False
60.16143,24.6779,False
60.16278,24.6779,False
60.16413,24.6779,False
60.16548,24.6779,False
60.16683,24.6779,False
60.16818,24.6779,False
60.16954,24.6779,False
60.17089,24.6779,False
60.17224,24.6779,False
60.17359,24.6779,False
60.17494,24.6779,False
60.17629,24.6779,False
60.17764,24.6779,False
60.17899,24.6779,False
60.18034,24.6779,False
60.18169,24.6779,False
60.18304,24.6779,False
60.1844,24.6779,False
60.18575,24.6779,False
60.1871,24.6779,False
60.18845,24.6779,False
60.1898,24.6779,False
60.19115,24.6779,False
60.1925,24.6779,False
60.19385,24.6779,False
60.1952,24.6779,False
60.19655,24.6779,False
60.1979,24.6779,False
60.19925,24.6779,False
60.20061,24.6779,False
60.20196,24.6779,False
60.20331,24.6779,False
60.20466,24.6779,False
60.20601,24.6779,False
60.20736,24.6779,False
60.20871,24.6779,False
60.21006,24.6779,False
60.21141,24.6779,False
60.21276,24.6779,False
60.21411,24.6779,False
60.21547,24.6779,False
60.21682,24.6779,False
60.21817,24.6779,False
60.21952,24.6779,False
60.22087,24.6779,False
60.22222,24.6779,False
60.22357,24.6779,False
60.22492,24.6779,False
60.22627,24.6779,False
60.22762,24.6779,False
60.22897,24.6779,False
60.23033,24.6779,False
60.23168,24.6779,False
60.23303,24.6779,False
60.23438,24.6779,False
60.23573,24.6779,False
60.23708,24.6779,False
60.23843,24.6779,False
60.23978,24.6779,False
60.24113,24.6779,False
60.24248,24.6779,False
60.24383,24.6779,True
60.24519,24.6779,True
60.24654,24.6779,True
60.24789,24.6779,True
60.24924,24.6779,True
60.25059,24.6779,False
60.25194,24.6779,False
60.25329,24.6779,False
60.25464,24.6779,True
60.25599,24.6779,True
60.25734,24.6779,True
60.25869,24.6779,False
60.26004,24.6779,False
60.2614,24.6779,True
60.26275,24.6779,True
60.2641,24.6779,True
60.26545,24.6779,True
60.13441,24.68062,False
60.13576,24.68062,False
60.13711,24.68062,False
60.13846,24.68062,False
60.13982,24.68062,False
60.14117,24.68062,False
60.14252,24.68062,False
60.14387,24.68062,False
60.14522,24.68062,False
60.14657,24.68062,False
60.14792,24.68062,False
60.14927,24.68062,False
60.15062,24.68062,True
60.15197,24.68062,False
60.15332,24.68062,False
60.15468,24.68062,False
60.15603,24.68062,False
60.15738,24.68062,False
60.15873,24.68062,False
60.16008,24.68062,False
60.16143,24.68062,False
60.16278,24.68062,False
60.16413,24.68062,False
60.16548,24.68062,False
60.16683,24.68062,False
60.16818,24.68062,False
60.16954,24.68062,False
60.17089,24.68062,False
60.17224,24.68062,False
60.17359,24.68062,False
60.17494,24.68062,False
60.17629,24.68062,False
60.17764,24.68062,False
60.17899,24.68062,False
60.18034,24.68062,False
60.18169,24.68062,False
60.18304,24.68062,False
60.1844,24.68062,False
