Lat,Lon,label_weekend,label_working,sum_score
60.18372,24.96219,178.3577497729074,297.08073610085546,408.30163916536407
60.16818,24.96858,150.7561724680381,276.5737646725068,391.6164841806723
60.18698,24.94336,174.73868135575614,316.2682443878163,382.05149841718895
60.15468,24.94141,134.81678411685493,235.976733236048,369.72494813862943
60.16683,24.91424,121.81106715594876,248.59590386324027,367.2046052755073
60.17764,24.93869,136.77320222122256,276.74474604486534,367.0418676252308
60.18304,24.96858,120.90722805627004,250.8855361664797,362.14972422849974
60.17088,24.9158,127.53160894639156,233.81464732676096,349.8914758149258
60.18575,24.93326,120.81126239431538,244.7662958369088,345.560343227209
60.15738,24.92783,116.2622877439443,231.4977057761635,314.68771747929065
60.1925,24.93326,110.91437058298342,212.1516015329969,290.48006714750966
60.1898,24.98216,108.91321685334576,196.3237674547367,288.52372003761104
60.20279,24.96661,114.74608812531652,184.67187777362827,283.0233222330083
60.16353,24.91452,86.2129816480726,210.6145770203812,280.57475286240015
60.1925,24.92511,103.21982984736913,188.66718365748548,279.26941926112886
60.15684,24.92066,156.6518514116242,289.3301916630127,275.04368074343597
60.20061,24.95771,103.40592565665273,169.50537383583776,265.8329084393711
60.1952,24.91153,95.33838821608929,169.76940310615777,262.81579312637746
60.16683,24.90609,96.02389205878974,221.0814593275242,255.87751696878354
60.20385,24.94042,71.26188998710579,186.2283135572946,255.26406345612025
60.17494,24.95499,150.71566462531783,303.83972145986087,254.1318296845091
60.18575,24.90609,83.47942040805762,175.65919369565995,249.4302510393132
60.18034,24.96314,129.57006786428514,232.38061512284864,241.9958456859223
60.19925,24.90881,88.20650281356858,148.8038798034671,234.96130149930912
60.19115,24.89251,89.83266417562321,144.8647009235448,232.66828125104837
